Ticker,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
DRUG,1035.31,1385.93,-21.16,-31.59,-51.67,-28.73,99,30,19,12,23,47.39,0.97,15.17,5.79,0.15
CHSN,305.31,249.28,22.02,-23.9,-17.58,-49.52,99,92,25,37,12,13.03,0.87,7.33,3.8,0.38
WLGS,277.05,175.26,88.21,-26.82,-48.27,-45.04,99,98,22,13,14,3.46,1.0,1.78,0.97,0.17
WGS,270.98,182.06,157.93,211.48,86.91,-54.37,99,99,99,98,10,83.2,1.0,49.79,33.29,2.46
MNPR,270.16,352.33,103.22,9.56,-7.26,-70.94,99,99,80,57,6,14.67,0.78,6.72,4.48,0.5
DOGZ,242.45,311.98,144.76,58.66,-41.53,-73.95,99,99,97,16,5,50.06,0.87,35.08,20.39,0.23
CAPR,211.6,234.48,91.19,-18.84,5.35,-18.26,99,98,30,80,34,21.36,0.98,12.97,7.64,0.24
WAVE,210.78,198.76,74.93,-0.01,11.83,-50.18,99,98,66,86,12,9.98,1.0,5.84,4.07,1.12
LTBR,192.36,105.6,-20.73,-23.83,-43.92,-38.05,99,31,25,15,17,10.74,1.0,4.42,3.35,4.37
RAIL,185.18,192.0,132.03,-3.64,13.6,-14.99,99,99,59,87,39,14.86,1.0,11.46,6.3,0.65
CRVS,183.06,179.61,101.93,24.13,-33.81,7.93,99,99,92,20,83,8.8,1.0,6.1,3.58,1.31
FTEL,168.87,167.76,57.7,92.91,126.35,30.61,99,97,98,99,95,34.01,1.0,19.43,17.98,0.58
SEZL,166.13,159.59,156.43,76.86,77.68,108.05,99,99,98,98,99,229.64,1.0,175.27,113.7,0.72
SGMO,162.82,105.48,24.46,21.12,-42.97,-69.37,99,93,90,15,6,1.99,0.45,1.03,0.74,1.8
SMR,162.15,141.74,84.3,74.58,4.07,-62.5,99,98,98,78,8,20.8,1.0,13.18,10.22,1.52
COMM,147.12,128.85,146.85,-18.87,-71.77,-50.1,99,99,30,6,12,6.95,0.73,5.7,3.03,0.88
CLOV,139.93,139.53,99.04,47.45,-38.17,-16.44,99,99,97,18,37,4.05,0.99,3.39,2.03,0.43
LUMN,132.89,132.49,206.09,9.18,-33.59,-39.27,99,99,80,21,17,6.69,0.91,6.4,3.51,0.64
NOVVU,131.16,138.08,171.98,-5.91,-6.29,-5.7,99,99,55,60,62,41.0,1.0,35.37,19.73,0.0
WLFC,130.35,130.48,98.25,51.45,-1.73,-6.64,99,99,97,69,60,190.82,0.93,150.49,97.2,0.69
GEVO,128.55,169.52,69.99,-44.22,-49.5,-39.78,99,98,13,12,16,2.55,0.78,1.81,1.03,0.64
NXL,127.88,137.62,-21.16,52.8,100.12,-53.37,99,30,97,99,11,2.28,0.9,1.11,1.2,1.82
LBPH,123.08,131.63,43.65,124.47,65.79,183.92,99,96,99,98,99,59.7,1.0,42.48,31.58,0.34
EVGO,122.23,143.18,28.58,18.95,-51.47,-48.65,99,94,89,12,12,8.27,0.92,6.11,3.84,0.4
NEON,118.29,137.14,244.05,46.65,-41.29,-64.73,99,99,97,16,7,7.66,0.56,8.44,4.49,0.14
INSG,117.64,149.95,160.23,86.26,-27.53,-65.39,99,99,98,25,7,17.65,0.89,17.46,11.37,0.79
NOVV,116.31,121.94,149.21,-7.2,-5.28,-6.21,99,99,52,63,60,37.0,1.0,32.03,18.75,0.0
AZ,114.72,111.78,-16.86,-40.19,-76.99,-36.66,98,36,14,5,18,5.45,0.74,2.91,1.85,1.09
SMMT,113.27,152.21,199.86,173.65,35.62,69.38,98,99,99,95,98,18.65,0.57,20.26,11.77,0.43
WVE,112.45,118.83,33.51,9.66,-12.78,-14.68,98,95,80,44,40,14.32,0.92,9.18,6.87,0.62
EOSE,111.99,108.03,71.67,8.18,-62.44,-57.37,98,98,78,8,10,3.44,0.71,2.89,1.8,0.58
ASTS,110.43,121.74,159.14,236.09,-51.33,-48.22,98,99,99,12,13,25.13,0.75,26.6,16.53,0.49
PCTTU,106.36,120.92,49.58,9.11,-17.58,-50.03,98,97,79,37,12,17.12,0.95,11.73,9.06,0.05
CURI,105.97,128.26,90.56,25.33,30.68,-44.23,98,98,92,94,14,2.43,0.91,2.05,1.44,0.47
PCT,105.84,120.23,59.58,21.77,-30.53,-50.57,98,97,91,22,12,13.48,0.95,9.55,6.98,0.67
WULF,105.72,96.72,68.31,78.33,18.65,-3.06,98,98,98,90,67,6.89,1.0,4.89,3.97,1.02
APP,104.82,98.48,74.64,25.65,61.87,34.5,98,98,92,97,96,171.65,1.0,130.9,96.92,0.56
TECX,102.96,94.59,61.55,-5.6,-17.34,-6.46,98,98,55,37,60,41.06,1.0,28.78,20.08,1.07
ASPI,101.63,47.29,-11.95,-1.06,84.31,92.4,98,44,64,98,98,6.9,1.0,3.51,3.41,6.56
TKNO,99.45,95.37,47.89,48.73,-42.6,-4.19,98,97,97,15,65,7.11,0.97,5.53,3.45,0.99
RCAT,97.57,71.8,81.63,111.65,37.11,-40.51,98,98,99,95,16,3.17,0.92,3.02,2.01,0.66
OKLO,96.4,66.64,-21.82,-21.61,8.37,-7.85,98,30,27,83,56,22.89,1.0,11.57,10.2,2.16
SRRK,93.41,96.41,-38.18,-30.38,18.79,36.29,98,17,20,90,96,29.98,0.98,16.84,12.59,0.32
CNVS,91.63,68.42,-12.82,-39.35,-59.68,-63.05,98,42,14,9,8,2.52,0.15,1.38,1.06,1.27
HROW,91.53,123.08,121.14,55.63,-35.04,-48.49,98,99,97,20,12,44.42,0.73,46.62,29.63,1.11
PSNL,91.36,78.51,122.69,102.64,-29.37,-39.27,98,99,99,23,17,5.19,0.84,5.21,3.25,0.66
TISI,90.55,88.78,57.83,14.75,-19.33,-14.95,98,97,85,34,39,19.93,0.89,18.08,11.64,1.25
TIL,90.34,77.22,335.41,14.98,-3.29,-0.72,98,99,85,67,71,34.28,0.35,43.79,22.07,0.51
AENT,89.35,53.59,33.87,18.8,-2.67,-55.33,98,95,88,68,10,4.18,0.36,2.62,2.48,0.76
DDL,89.22,66.53,57.42,-4.48,-43.93,-58.47,98,97,58,15,9,4.02,0.59,3.13,2.25,0.84
CVNA,86.98,88.21,78.4,78.49,74.66,32.52,98,98,98,98,95,207.31,1.0,174.31,136.88,1.06
BVS,85.45,84.67,80.8,42.48,-5.96,35.24,98,98,96,61,96,13.58,1.0,11.79,8.12,0.51
AGX,84.38,74.4,49.67,31.67,24.49,-6.32,98,97,94,93,60,136.14,1.0,107.12,82.61,0.94
GDS,83.02,82.19,88.32,5.9,-28.14,-59.76,98,98,76,24,9,21.86,0.79,19.93,13.11,0.5
KINS,82.58,77.61,80.83,85.9,76.04,64.02,98,98,98,98,98,10.33,1.0,9.41,6.8,1.57
MSTR,81.92,77.22,48.86,82.52,98.93,18.31,98,97,98,98,91,247.31,1.0,179.58,156.29,1.23
