Ticker,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
DRUG,1040.88,1385.93,-21.16,-31.59,-51.67,-28.73,99,30,19,12,23,46.8,0.96,15.11,5.77,0.15
MNPR,274.29,352.33,103.22,9.56,-7.26,-70.94,99,99,80,57,6,14.57,0.77,6.71,4.48,0.55
WGS,271.14,182.06,157.93,211.48,86.91,-54.37,99,99,99,98,10,81.69,1.0,49.64,33.24,2.5
WLGS,268.22,175.26,88.21,-26.82,-48.27,-45.04,99,98,22,13,14,3.31,1.0,1.76,0.97,0.22
DOGZ,267.66,311.98,144.76,58.66,-41.53,-73.95,99,99,97,16,5,53.02,0.93,35.37,20.49,0.4
CHSN,242.62,249.28,22.02,-23.9,-17.58,-49.52,99,92,25,37,12,10.67,0.7,7.1,3.72,0.38
CAPR,199.51,234.48,91.19,-18.84,5.35,-18.26,99,98,30,80,34,20.1,0.91,12.84,7.6,0.28
CRVS,189.37,179.61,101.93,24.13,-33.81,7.93,99,99,92,20,83,8.84,1.0,6.1,3.58,1.4
WAVE,185.46,198.76,74.93,-0.01,11.83,-50.18,99,98,66,86,12,8.95,0.97,5.74,4.03,1.47
RAIL,180.95,192.0,132.03,-3.64,13.6,-14.99,99,99,59,87,39,14.36,0.98,11.41,6.28,0.88
LTBR,170.8,105.6,-20.73,-23.83,-43.92,-38.05,99,31,25,15,17,9.72,1.0,4.32,3.32,4.41
FTEL,159.25,167.76,57.7,92.91,126.35,30.61,99,97,98,99,95,32.12,0.99,19.24,17.92,0.61
SEZL,154.11,159.59,156.43,76.86,77.68,108.05,99,99,98,98,99,214.66,0.95,173.77,113.2,0.95
NXL,152.34,137.62,-21.16,52.8,100.12,-53.37,99,30,97,99,11,2.49,1.0,1.13,1.21,2.04
CLOV,148.28,139.53,99.04,47.45,-38.17,-16.44,99,99,97,18,37,4.12,1.0,3.4,2.03,0.66
SMR,146.58,141.74,84.3,74.58,4.07,-62.5,99,98,98,78,8,19.14,1.0,13.02,10.16,1.64
COMM,143.99,128.85,146.85,-18.87,-71.77,-50.1,99,99,30,6,12,6.73,0.7,5.68,3.02,1.12
NOVVU,135.35,138.08,171.98,-5.91,-6.29,-5.7,99,99,54,60,62,41.0,1.0,35.37,19.73,0.0
SGMO,130.28,105.48,24.46,21.12,-42.97,-69.37,99,93,90,15,6,1.7,0.38,1.0,0.73,2.11
