Ticker,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
DRUG,Healthcare,Biotechnology,2940.08,3189.25,2474.19,93.19,64.11,90.76,99,35,6,25,47.17,0.98,5.66,2.43,0.61
WGS,Healthcare,Health Information Services,724.26,801.08,801.08,794.56,663.41,311.46,99,99,99,97,57.79,0.95,41.86,22.93,0.5
DOGZ,Consumer Cyclical,Leisure,681.26,681.26,489.53,363.37,262.46,138.26,99,98,97,85,52.95,1.0,28.35,14.09,0.9
ASTS,Technology,Communication Equipment,603.66,615.65,508.85,912.53,409.61,75.27,99,99,98,11,27.89,0.71,27.69,11.82,0.6
CHSN,Consumer Cyclical,Restaurants,575.05,593.49,683.75,116.58,152.8,116.62,99,74,90,73,11.98,0.78,4.77,2.57,1.73
FTEL,Consumer Cyclical,Specialty Retail,541.61,631.27,631.27,579.66,1173.25,414.79,99,99,99,98,21.34,0.54,16.36,12.97,0.68
SEZL,Financial Services,Credit Services,522.75,634.31,634.31,502.32,290.98,313.32,99,99,98,97,192.17,0.85,154.16,87.15,1.24
INSG,Technology,Communication Equipment,447.96,481.7,455.08,387.93,358.68,91.25,99,99,98,30,19.52,0.99,16.12,8.16,0.35
SMMT,Healthcare,Biotechnology,437.59,544.45,632.26,818.49,419.71,241.74,99,99,98,96,20.59,0.62,18.69,8.95,0.17
CAPR,Healthcare,Biotechnology,427.33,436.49,436.49,100.26,131.99,137.27,99,50,83,85,20.14,0.92,9.69,6.21,0.44
ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",379.41,404.64,404.64,616.06,645.53,671.05,99,99,99,99,2.95,0.82,3.03,2.14,0.18
CRVS,Healthcare,Biotechnology,377.78,377.78,324.27,304.88,113.1,161.77,99,98,69,91,7.75,1.0,5.16,2.84,3.04
LENZ,Healthcare,Biotechnology,374.91,446.24,425.29,588.61,614.29,743.7,99,99,99,99,24.67,0.87,23.32,15.86,1.3
LUMN,Communication Services,Telecom Services,363.8,418.57,493.55,460.21,85.46,90.58,99,99,19,25,6.13,0.82,6.15,2.72,0.79
NEON,Technology,Electronic Components,362.84,396.25,579.45,631.28,166.4,73.7,99,99,92,10,8.44,0.67,7.55,3.42,0.13
LBPH,Healthcare,Biotechnology,354.87,373.8,359.09,373.92,328.54,415.4,99,98,98,98,59.4,1.0,37.75,27.06,0.98
RAIL,Industrials,Railroads,351.87,367.2,389.49,317.62,129.77,123.06,99,98,82,78,12.66,0.97,9.39,4.86,0.53
GEVO,Basic Materials,Specialty Chemicals,347.49,376.9,242.26,176.3,69.49,65.04,99,94,8,7,3.01,0.9,1.37,0.88,1.71
LASE,Industrials,Specialty Industrial Machinery,344.18,467.17,1036.99,568.31,181.62,148.59,99,99,94,88,5.75,0.28,7.15,3.11,0.36
HROW,Healthcare,Drug Manufacturers—Specialty & Generic,338.93,338.93,304.76,308.91,174.69,83.9,99,98,93,16,56.98,0.99,45.02,22.71,0.82
WLGS,Industrials,Engineering & Construction,336.95,458.88,363.11,206.21,84.45,110.16,99,96,18,65,2.4,0.71,1.27,0.77,0.2
CLOV,Healthcare,Healthcare Plans,324.07,359.41,345.46,300.4,181.43,88.25,99,98,94,21,3.94,0.91,3.21,1.59,0.71
SMR,Industrials,Specialty Industrial Machinery,319.52,343.34,229.95,239.14,299.29,170.27,99,97,98,92,17.81,0.93,10.94,7.7,2.48
COMM,Technology,Communication Equipment,308.14,318.54,367.05,328.74,94.4,80.85,99,98,39,14,5.97,0.89,5.19,2.49,0.74
RNA,Healthcare,Biotechnology,296.42,311.13,305.25,399.02,361.56,245.85,99,99,98,96,47.38,0.93,44.44,31.27,0.35
WAVE,Utilities,Utilities—Renewable,295.94,366.39,366.39,182.89,196.91,182.18,99,95,95,93,7.97,0.73,4.79,2.99,0.92
NOVVU,Financial Services,Shell Companies,294.14,297.11,314.02,319.81,94.48,98.49,99,98,39,47,41.0,1.0,28.71,15.96,0.0
WLFC,Industrials,Rental & Leasing Services,288.94,319.62,292.52,230.67,144.83,102.25,99,97,88,53,189.21,0.92,132.49,77.33,0.98
JANX,Healthcare,Biotechnology,283.48,283.48,257.45,294.76,618.86,437.57,98,98,99,98,52.8,0.8,46.21,38.96,0.95
CVNA,Consumer Cyclical,Auto & Truck Dealerships,279.63,279.63,272.58,260.28,526.22,415.86,98,98,99,98,197.35,1.0,164.84,110.32,0.95
TIL,Healthcare,Biotechnology,268.47,361.75,677.16,794.16,120.49,124.87,98,99,76,79,33.58,0.35,36.83,17.55,0.26
NOVV,Financial Services,Shell Companies,266.08,271.62,278.89,285.36,95.21,95.6,98,98,40,41,37.0,1.0,26.19,15.42,0.0
WULF,Financial Services,Capital Markets,262.42,262.42,199.91,267.84,307.41,205.48,98,98,98,95,6.53,1.0,4.46,3.24,1.22
MSTR,Technology,Software—Application,262.13,262.13,250.53,276.99,340.12,443.12,98,98,98,98,219.7,1.0,155.38,132.99,1.05
EVGO,Consumer Cyclical,Specialty Retail,261.43,266.03,238.28,159.06,137.9,67.99,98,93,86,8,8.26,0.97,5.05,3.16,0.55
ALTS,Technology,Software—Application,257.89,258.48,214.0,272.85,806.19,688.29,98,98,99,99,2.46,0.45,2.11,2.21,0.38
KINS,Financial Services,Insurance—Property & Casualty,254.8,281.99,287.8,396.59,232.81,252.06,98,99,96,96,9.89,0.8,9.33,5.6,0.45
NXL,Healthcare,Medical Devices,252.07,252.07,108.15,198.47,445.69,467.62,98,96,99,98,1.79,0.56,0.86,0.98,4.12
CRMD,Healthcare,Biotechnology,249.88,249.88,207.89,167.69,144.6,143.38,98,94,88,87,12.04,1.0,7.42,5.11,1.68
PSNL,Healthcare,Diagnostics & Research,246.8,272.62,340.54,403.31,238.93,97.3,98,99,97,44,4.7,0.7,5.29,2.57,0.24
RZLT,Healthcare,Biotechnology,245.88,245.98,245.67,284.17,357.75,261.99,98,98,98,97,5.29,0.9,4.75,3.35,3.63
CURI,Communication Services,Broadcasting,245.67,281.84,234.46,245.86,175.34,181.95,98,97,93,93,2.33,0.87,1.76,1.12,0.76
AEYE,Technology,Software—Application,244.89,271.84,263.81,351.47,422.56,239.17,98,98,98,96,24.77,0.87,22.84,16.41,1.7
DAVE,Technology,Software—Application,243.98,311.25,300.56,334.93,581.62,530.2,98,98,99,99,42.83,0.79,39.37,34.68,0.97
