Ticker,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
TECX,Healthcare,Biotechnology,10613.34,20213.72,229233.49,194224.85,3583.85,86.43,99,99,99,7,35.93,1.0,22.71,17.65,1.03
MIRA,Healthcare,Drug Manufacturers—General,7403.32,7403.32,6896.71,3958.34,101.68,92.57,99,99,50,13,1.09,0.12,1.48,1.17,0.13
RGC,Healthcare,Drug Manufacturers—Specialty & Generic,1033.06,1033.06,944.5,657.4,90.19,63.99,99,99,13,2,4.91,0.12,6.81,6.2,0.1
GNLN,Consumer Defensive,Tobacco,849.33,849.33,739.89,373.26,126.22,93.11,99,98,84,14,4.32,0.15,5.86,5.32,0.01
ASNS,Technology,Communication Equipment,734.61,1070.75,5579.01,17030.47,2344.45,94.72,99,99,99,24,1.4,0.29,1.48,1.23,0.22
SERV,Industrials,Specialty Industrial Machinery,702.84,737.84,699.18,464.44,61.57,93.23,99,98,2,16,8.56,0.31,9.02,6.19,0.8
LUMN,Communication Services,Telecom Services,545.43,545.43,518.99,327.19,96.92,115.32,99,98,35,71,6.18,0.83,6.08,2.65,0.43
RGS,Consumer Cyclical,Personal Services,525.6,665.39,1431.03,1308.34,217.8,120.91,99,99,96,78,26.49,0.74,23.78,14.32,0.15
LASE,Industrials,Specialty Industrial Machinery,513.64,513.64,436.17,206.8,248.04,167.96,99,97,97,93,6.38,0.31,7.01,3.04,0.59
CING,Healthcare,Biotechnology,512.38,512.38,456.27,245.68,61.1,106.44,99,98,2,53,4.49,0.02,6.12,14.55,0.01
GDC,Communication Services,Electronic Gaming & Multimedia,479.17,487.73,487.13,376.44,82.77,99.97,99,98,6,36,1.96,0.19,3.93,2.03,0.16
QH,Technology,Software—Application,453.84,453.84,355.8,114.73,79.0,95.77,99,80,5,26,1.55,0.87,0.9,0.82,0.04
KTRA,Healthcare,Biotechnology,452.44,452.44,152.57,237.88,232.38,46.25,99,98,96,1,8.05,1.0,0.35,0.21,
VRAX,Healthcare,Biotechnology,434.15,438.16,437.02,413.29,144.47,60.75,99,98,89,2,1.56,0.16,2.77,1.44,0.04
ZAPP,Consumer Cyclical,Auto Manufacturers,427.3,684.97,1761.64,1944.96,175.4,101.32,99,99,93,39,2.7,0.12,3.76,4.62,0.42
SMMT,Healthcare,Biotechnology,424.09,455.42,582.76,871.73,471.1,187.29,99,99,98,95,21.57,0.66,18.08,8.68,0.54
KZIA,Healthcare,Biotechnology,393.57,515.12,631.0,490.39,136.31,80.53,99,99,87,4,0.53,0.32,0.38,0.34,12.3
ASTS,Technology,Communication Equipment,385.08,415.12,562.13,696.88,322.78,145.78,99,99,98,90,28.49,0.72,27.28,11.47,0.6
CNEY,Basic Materials,Specialty Chemicals,384.57,384.57,290.89,85.63,59.07,88.18,99,12,2,8,0.64,0.12,0.48,0.82,0.03
PSNL,Healthcare,Diagnostics & Research,369.03,392.1,391.66,315.06,107.84,154.39,99,98,64,91,4.62,0.68,5.22,2.53,0.41
DRUG,Healthcare,Biotechnology,354.17,354.17,108.61,100.38,90.87,120.75,99,49,15,77,21.7,0.55,2.88,1.75,0.9
COMM,Technology,Communication Equipment,347.04,347.04,341.41,239.99,94.94,115.98,99,98,26,72,5.65,0.83,5.0,2.45,0.56
NEON,Technology,Electronic Components,344.37,345.35,332.1,224.53,157.24,136.0,99,97,91,86,7.8,0.61,7.18,3.32,0.17
TIL,Healthcare,Biotechnology,340.93,340.93,315.38,150.33,138.75,141.23,99,94,88,88,39.46,0.42,35.38,17.13,0.39
ADD,Communication Services,Entertainment,335.01,362.76,379.03,253.89,90.8,128.35,99,98,15,83,0.18,0.01,0.79,0.39,0.91
CMAX,Healthcare,Health Information Services,333.03,333.03,324.33,304.72,68.02,45.21,99,98,2,1,2.15,0.01,2.4,4.57,0.61
NOVVU,Financial Services,Shell Companies,331.64,331.64,282.71,125.43,94.0,95.36,99,88,21,25,41.0,1.0,27.04,15.52,0.0
DUO,Real Estate,Real Estate Services,327.15,327.15,278.44,547.49,424.36,90.32,99,99,98,10,1.08,0.18,0.93,0.66,0.49
NISN,Industrials,Specialty Business Services,305.52,325.54,331.5,232.89,151.37,159.1,98,97,91,92,13.53,0.6,13.21,7.5,1.29
GLMD,Healthcare,Biotechnology,305.18,305.18,264.15,96.52,99.74,96.97,98,36,44,28,3.46,0.05,4.71,4.4,0.13
CHSN,Consumer Cyclical,Restaurants,304.83,304.83,184.69,140.27,173.33,297.37,98,93,93,98,12.24,0.8,4.14,2.41,0.0
LCFY,Communication Services,Internet Content & Information,304.35,361.0,385.2,277.88,73.3,112.65,98,98,3,67,5.67,0.45,5.73,5.07,0.62
NOVV,Financial Services,Shell Companies,288.14,288.14,247.14,117.36,97.82,93.16,98,82,38,14,37.0,1.0,24.71,15.04,0.0
TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,284.8,284.8,268.27,187.67,96.29,143.88,98,97,32,89,6.26,1.0,4.8,3.05,3.02
MBIO,Healthcare,Biotechnology,280.42,360.05,1408.09,1568.65,197.34,80.95,98,99,95,4,0.22,0.05,0.28,0.62,0.52
NUTX,Healthcare,Health Information Services,279.69,279.69,267.99,180.86,48.74,100.41,98,96,1,37,22.22,0.47,20.25,14.21,0.55
LUCY,Healthcare,Medical Instruments & Supplies,277.23,310.09,518.59,2028.05,1084.38,96.43,98,99,99,27,6.61,0.2,6.17,6.98,0.04
PRTG,Healthcare,Biotechnology,262.74,262.74,226.78,112.26,62.68,69.05,98,76,2,2,6.71,0.11,5.15,8.09,0.04
NCNA,Healthcare,Biotechnology,261.44,261.44,246.52,151.86,75.31,76.94,98,94,4,3,1.95,0.01,3.76,4.97,0.11
DSY,Consumer Defensive,Household & Personal Products,260.67,260.67,207.48,108.16,92.7,93.63,98,69,18,19,5.58,0.48,3.88,6.62,0.26
CLOV,Healthcare,Healthcare Plans,258.37,258.37,255.59,237.4,134.22,99.79,98,97,87,35,4.18,0.98,3.08,1.54,1.72
TKLF,Consumer Cyclical,Specialty Retail,249.4,290.55,293.08,269.47,95.96,85.79,98,98,31,6,0.53,0.32,0.59,0.4,1.02
RCAT,Technology,Computer Hardware,244.27,252.0,254.29,237.54,162.72,97.35,98,97,92,29,3.04,0.8,2.94,1.54,0.96
BOF,Consumer Defensive,Packaged Foods,241.13,241.13,213.25,124.27,192.27,152.9,98,87,95,91,1.64,0.37,1.63,1.57,0.03
GOVX,Healthcare,Biotechnology,239.84,266.72,363.53,363.42,110.04,74.26,98,98,68,3,2.01,0.12,3.44,2.7,0.05
DOGZ,Consumer Cyclical,Leisure,239.1,239.1,243.57,274.96,281.66,208.41,98,98,97,96,37.26,0.8,26.31,13.49,0.7
CRVS,Healthcare,Biotechnology,237.04,237.04,222.91,172.72,108.22,146.53,98,96,65,90,7.21,0.98,4.93,2.76,1.65
RAIL,Industrials,Railroads,234.47,234.47,212.06,147.54,124.2,119.32,98,93,82,76,11.84,0.89,8.83,4.7,0.43
ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",233.27,268.93,470.19,17138.68,486375.78,7049.71,98,99,99,99,2.96,0.82,3.04,2.1,0.6
HROW,Healthcare,Drug Manufacturers—Specialty & Generic,231.74,231.74,231.31,225.62,154.15,100.97,98,97,91,38,56.41,1.0,43.71,22.02,0.73
EOSE,Industrials,Electrical Equipment & Parts,230.77,238.98,267.03,260.5,117.14,89.19,98,98,77,9,3.32,0.95,2.53,1.45,2.15
IMNN,Healthcare,Biotechnology,224.74,226.16,226.91,207.94,220.93,128.48,98,97,96,83,0.98,0.17,1.08,1.1,0.54
SNGX,Healthcare,Biotechnology,222.32,273.76,331.09,228.92,111.8,217.89,98,97,71,96,3.63,0.12,3.8,6.78,0.25
XCUR,Healthcare,Biotechnology,220.34,220.99,206.51,124.72,106.63,114.86,98,87,62,70,2.91,0.52,2.46,2.57,0.03
ELWS,Technology,Software—Application,216.59,216.59,209.98,174.88,360.5,293.82,98,96,98,98,2.26,0.14,2.45,2.62,0.0
NUZE,Consumer Defensive,Packaged Foods,216.14,216.14,262.74,266.63,125.46,89.12,98,98,83,9,2.3,0.35,1.11,1.66,43.02
KOSS,Technology,Consumer Electronics,214.25,251.2,343.97,376.28,242.58,105.11,98,98,97,50,8.32,0.55,7.53,5.06,0.81
MGOL,Communication Services,Advertising Agencies,211.76,243.19,539.27,2074.58,977.19,90.65,98,99,99,10,2.58,0.05,3.24,3.94,0.03
SGMO,Healthcare,Biotechnology,211.34,211.34,200.57,153.52,172.41,188.46,98,94,93,95,0.94,0.59,0.86,0.68,0.5
SOND,Consumer Cyclical,Lodging,211.22,211.22,205.3,183.07,157.11,115.92,98,96,91,72,4.06,0.34,4.9,3.97,0.02
PSNYW,Consumer Cyclical,Auto Manufacturers,210.82,210.82,203.1,138.26,96.39,83.93,98,92,33,5,0.21,0.35,0.23,0.18,0.13
CSLR,Technology,Solar,210.25,220.74,237.49,433.05,363.5,112.92,98,98,98,68,2.37,0.75,2.16,1.37,1.96
ILAG,Industrials,Building Products & Equipment,209.9,219.31,219.6,185.59,113.26,83.67,98,96,73,5,0.98,0.7,1.01,0.65,0.05
ICLK,Communication Services,Advertising Agencies,209.8,209.8,204.11,162.72,110.81,171.62,98,95,70,93,3.26,0.75,3.12,2.82,0.7
KAVL,Consumer Defensive,Tobacco,206.14,225.29,362.01,503.72,518.24,81.64,98,99,98,5,0.86,0.04,0.82,2.1,0.06
INSG,Technology,Communication Equipment,205.97,210.88,245.7,328.72,317.27,122.24,98,98,98,79,19.68,1.0,15.56,7.9,0.78
WLGS,Industrials,Engineering & Construction,205.88,205.88,175.44,119.18,142.74,184.33,98,84,89,94,2.4,0.71,1.15,0.74,1.09
SQNS,Technology,Semiconductors,205.79,205.79,194.47,142.62,82.55,95.18,98,93,6,25,2.37,0.23,2.3,2.61,0.04
SEZL,Financial Services,Credit Services,204.12,204.12,198.34,200.04,406.56,411.27,98,97,98,98,218.79,1.0,148.76,84.4,1.19
GSIW,Financial Services,Capital Markets,203.39,203.39,177.31,106.41,115.11,125.69,98,65,75,81,1.52,0.03,4.93,7.82,0.09
BGM,Healthcare,Drug Manufacturers—Specialty & Generic,202.5,213.9,222.49,204.97,156.72,133.05,98,97,91,85,7.7,0.9,6.87,4.45,0.3
PIRS,Healthcare,Biotechnology,199.64,199.64,188.28,149.69,88.38,87.41,98,94,11,7,16.93,0.66,16.84,13.47,0.1
SAVA,Healthcare,Biotechnology,199.16,199.16,183.6,137.16,96.25,158.3,98,92,32,92,29.58,0.78,27.97,22.68,0.56
STEC,Technology,Software—Application,198.77,198.77,136.17,104.82,55.43,48.01,98,61,1,1,1.59,0.2,0.48,0.79,1.53
BBLG,Healthcare,Medical Devices,196.88,196.88,176.15,100.42,73.19,99.8,98,49,3,35,1.81,0.19,1.63,2.11,0.05
CDNA,Healthcare,Diagnostics & Research,195.76,202.82,203.5,198.35,147.77,169.51,98,97,90,93,24.48,0.67,29.61,16.69,1.72
RVNC,Healthcare,Biotechnology,194.38,198.06,198.21,163.45,71.26,87.2,98,95,3,7,5.18,0.41,5.88,4.76,0.21
EVGO,Consumer Cyclical,Specialty Retail,194.24,194.24,187.42,171.97,101.98,108.16,98,96,51,58,8.34,0.98,4.78,3.08,0.89
GEVO,Basic Materials,Specialty Chemicals,193.94,193.94,171.2,109.7,83.31,103.48,98,72,7,45,2.65,1.0,1.22,0.85,7.05
QTTB,Healthcare,Biotechnology,193.79,196.18,196.46,161.93,178.72,133.76,98,95,94,86,49.64,0.99,43.04,26.42,0.82
EBS,Healthcare,Drug Manufacturers—Specialty & Generic,192.34,210.6,269.29,411.03,314.73,118.65,98,98,98,75,9.14,0.58,8.26,5.52,0.42
AGMH,Technology,Computer Hardware,191.97,191.97,169.33,99.15,101.19,109.4,98,45,48,61,1.7,0.75,1.41,1.32,0.41
SRRK,Healthcare,Biotechnology,190.57,190.57,124.45,75.3,104.97,184.27,98,6,58,94,29.25,0.82,12.32,12.82,1.12
WAVE,Utilities,Utilities—Renewable,189.53,189.53,168.28,360.68,528.4,121.78,98,98,98,78,7.9,0.73,4.53,2.9,2.4
