Ticker,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
SNYR,Healthcare,Medical Distribution,346115.33,716032.97,20094109.22,16171387.87,23837.33,91.19,99,99,99,14,9.01,1.0,2.67,0.96,12.39
TECX,Healthcare,Biotechnology,6105.97,10612.89,149866.29,229214.48,7750.74,86.18,99,99,99,7,36.4,0.97,24.72,18.12,0.81
MIRA,Healthcare,Drug Manufacturers—General,3574.15,7408.75,7408.75,4707.64,130.64,102.48,99,99,85,44,1.13,0.13,1.38,1.17,0.42
DRUG,Healthcare,Biotechnology,2158.24,2158.24,354.22,103.99,86.06,123.38,99,57,9,79,49.5,1.0,7.55,2.9,0.31
GNLN,Consumer Defensive,Tobacco,942.95,942.95,849.29,464.36,126.13,99.24,99,98,83,36,2.25,0.01,5.39,5.28,1.24
RGC,Healthcare,Drug Manufacturers—Specialty & Generic,750.56,1047.02,1033.04,749.85,104.87,60.95,99,99,58,2,4.58,0.1,6.27,6.07,0.38
LASE,Industrials,Specialty Industrial Machinery,576.5,576.5,513.85,265.27,250.29,187.43,99,98,97,94,5.89,0.29,7.25,3.16,0.23
CING,Healthcare,Biotechnology,566.81,566.81,512.47,301.43,60.93,107.99,99,98,2,58,4.63,0.02,6.35,12.55,0.01
QH,Technology,Software—Application,557.23,557.23,453.81,164.94,77.27,94.49,99,95,4,25,1.47,0.82,1.02,0.82,0.0
LUMN,Communication Services,Telecom Services,555.85,556.24,545.36,386.15,96.4,112.12,99,98,32,66,6.28,0.84,6.19,2.76,0.57
ASNS,Technology,Communication Equipment,544.81,734.62,3190.15,17030.74,3506.33,94.96,99,99,99,25,1.37,0.28,1.49,1.24,0.1
SERV,Industrials,Specialty Industrial Machinery,544.71,702.78,737.78,535.61,67.98,89.87,99,99,2,10,9.54,0.35,8.77,6.29,0.8
CNEY,Basic Materials,Specialty Chemicals,488.9,488.9,384.36,120.52,58.06,70.26,99,84,2,2,0.55,0.09,0.51,0.79,0.02
GDC,Communication Services,Electronic Gaming & Multimedia,462.88,479.09,487.63,423.68,92.92,89.73,99,98,17,10,1.8,0.17,3.96,2.01,0.04
CHSN,Consumer Cyclical,Restaurants,461.1,461.1,304.86,134.75,173.19,301.63,99,91,93,98,9.09,0.58,5.09,2.66,0.57
VRAX,Healthcare,Biotechnology,442.07,442.07,438.27,419.48,153.95,61.11,99,98,91,2,2.57,0.34,2.84,1.46,0.36
STEC,Technology,Software—Application,417.98,417.98,198.76,114.45,55.28,47.7,99,78,2,1,1.1,0.13,0.59,0.79,0.05
RGS,Consumer Cyclical,Personal Services,402.4,525.44,1332.91,1430.25,310.66,117.46,99,99,98,74,24.12,0.66,24.06,14.73,1.07
SMMT,Healthcare,Biotechnology,387.86,424.03,542.61,871.32,541.91,183.97,99,99,98,94,19.46,0.59,19.03,9.12,0.24
DUO,Real Estate,Real Estate Services,383.31,383.31,327.15,547.45,458.36,87.54,99,99,98,8,1.11,0.19,1.01,0.67,0.09
NOVVU,Financial Services,Shell Companies,377.72,377.72,331.62,166.62,93.76,92.18,99,95,19,18,41.0,1.0,29.81,16.25,0.0
ASTS,Technology,Communication Equipment,354.42,384.98,515.75,696.31,371.8,129.25,99,99,98,83,25.07,0.63,27.88,12.03,1.29
TIL,Healthcare,Biotechnology,354.27,354.27,340.9,200.43,131.5,140.09,99,97,86,88,30.88,0.31,37.67,17.78,0.16
GLMD,Healthcare,Biotechnology,352.82,352.82,305.25,143.16,100.07,102.41,99,93,44,44,4.03,0.1,4.8,4.38,0.02
COMM,Technology,Communication Equipment,349.57,349.57,346.93,272.45,104.58,108.96,99,98,57,60,6.35,0.95,5.3,2.53,0.85
NEON,Technology,Electronic Components,348.6,348.64,345.38,265.72,163.03,139.26,99,98,92,87,7.86,0.61,7.76,3.47,0.14
KZIA,Healthcare,Biotechnology,347.78,393.6,631.06,525.05,169.75,79.23,99,99,93,4,0.53,0.32,0.4,0.34,0.56
TWG,Consumer Defensive,Food Distribution,346.24,346.24,217.66,100.16,102.31,99.56,99,46,51,36,13.5,1.0,2.54,1.61,0.5
NUZE,Consumer Defensive,Packaged Foods,332.57,332.57,247.41,266.65,128.97,87.96,98,98,85,8,1.07,0.13,1.03,1.63,0.18
PSNL,Healthcare,Diagnostics & Research,331.63,369.02,392.09,347.21,116.34,153.86,98,98,76,91,4.7,0.7,5.29,2.6,0.23
NOVV,Financial Services,Shell Companies,327.32,327.32,288.12,152.32,97.74,92.71,98,94,36,20,37.0,1.0,27.17,15.67,0.0
ADD,Communication Services,Entertainment,317.56,335.28,379.46,316.62,91.62,150.78,98,98,15,90,0.18,0.01,0.74,0.39,0.51
DSY,Consumer Defensive,Household & Personal Products,316.39,316.39,260.65,133.19,92.35,92.18,98,90,16,18,3.79,0.3,4.22,6.47,0.74
ZAPP,Consumer Cyclical,Auto Manufacturers,291.54,427.74,1471.39,1949.31,275.34,125.62,98,99,97,81,2.54,0.11,3.31,4.54,0.49
PRTG,Healthcare,Biotechnology,291.08,291.08,262.79,142.5,68.59,70.76,98,93,3,2,6.18,0.1,5.47,7.62,0.11
NUTX,Healthcare,Health Information Services,289.08,289.08,279.7,208.52,54.24,99.83,98,97,1,37,24.58,0.54,21.48,13.98,0.75
TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,276.3,286.97,284.88,210.16,92.51,150.26,98,97,17,90,6.65,0.89,5.07,3.13,0.99
NISN,Industrials,Specialty Business Services,275.41,305.54,331.53,267.53,151.69,161.46,98,98,91,92,9.07,0.36,13.32,7.67,2.09
SRRK,Healthcare,Biotechnology,273.78,273.78,190.37,78.87,99.77,130.5,98,7,43,84,29.01,0.81,14.36,13.14,0.52
NCNA,Healthcare,Biotechnology,265.17,265.17,261.49,187.36,73.01,77.95,98,97,3,4,1.83,0.0,3.6,4.83,0.09
LCFY,Communication Services,Internet Content & Information,261.86,304.34,385.19,313.41,92.32,112.34,98,98,16,67,4.89,0.35,5.8,4.99,0.58
BOF,Consumer Defensive,Packaged Foods,261.34,261.34,241.15,146.33,192.87,154.94,98,93,95,91,1.7,0.39,1.74,1.58,1.02
DOGZ,Consumer Cyclical,Leisure,261.28,261.28,239.15,275.25,282.35,221.46,98,98,97,96,56.9,1.0,29.8,14.56,0.73
CLOV,Healthcare,Healthcare Plans,257.88,258.88,258.33,241.66,148.06,95.36,98,98,90,26,3.79,0.87,3.27,1.61,0.46
LUCY,Healthcare,Medical Instruments & Supplies,257.26,277.16,451.82,2026.29,1280.54,87.87,98,99,99,8,6.13,0.17,6.45,6.93,0.02
