Ticker,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
SNYR,Healthcare,Medical Distribution,388934.94,850800.55,20095100.49,14436658.24,18887.44,91.18,99,99,99,13,9.0,1.0,2.5,0.92,47.85
TECX,Healthcare,Biotechnology,6783.19,11965.78,184349.47,229227.32,6692.47,86.36,99,99,99,6,34.51,0.92,24.31,18.02,0.61
MIRA,Healthcare,Drug Manufacturers—General,4090.17,7408.98,7289.4,4559.48,111.8,101.8,99,99,71,41,1.07,0.12,1.4,1.17,0.34
DRUG,Healthcare,Biotechnology,1532.72,1532.72,245.81,103.5,87.28,124.02,99,56,10,80,47.0,0.98,6.58,2.66,0.46
GNLN,Consumer Defensive,Tobacco,936.89,936.89,826.96,444.54,126.04,98.02,99,98,83,31,3.47,0.09,5.68,5.29,0.74
RGC,Healthcare,Drug Manufacturers—Specialty & Generic,815.89,1047.01,1020.69,732.34,96.1,61.18,99,99,30,2,4.83,0.11,6.36,6.1,0.31
ASNS,Technology,Communication Equipment,577.23,784.4,3532.64,17036.93,3270.08,99.43,99,99,99,34,1.35,0.28,1.49,1.24,0.13
SERV,Industrials,Specialty Industrial Machinery,576.47,737.81,737.81,520.68,63.21,90.95,99,99,2,11,9.05,0.33,8.8,6.27,0.88
LASE,Industrials,Specialty Industrial Machinery,564.26,564.26,501.25,249.67,249.43,182.97,99,98,97,94,5.99,0.29,7.2,3.14,0.25
CING,Healthcare,Biotechnology,556.54,556.54,501.2,290.22,60.96,108.28,99,98,2,57,4.67,0.02,6.3,12.98,0.02
LUMN,Communication Services,Telecom Services,556.31,556.31,541.39,373.12,97.05,115.07,99,98,34,70,6.13,0.82,6.18,2.74,0.6
QH,Technology,Software—Application,535.8,535.8,433.34,153.22,77.27,92.97,99,94,4,20,1.48,0.83,0.99,0.82,0.01
CNEY,Basic Materials,Specialty Chemicals,466.89,466.89,364.26,113.22,58.12,71.79,99,77,2,3,0.58,0.1,0.51,0.8,0.04
GDC,Communication Services,Electronic Gaming & Multimedia,466.54,482.64,487.65,415.18,91.0,91.62,99,98,14,15,1.84,0.17,3.96,2.01,0.08
VRAX,Healthcare,Biotechnology,438.09,438.09,438.23,419.35,151.96,60.09,99,98,91,2,2.52,0.33,2.82,1.45,11.71
CHSN,Consumer Cyclical,Restaurants,428.35,428.35,277.53,135.91,173.86,304.83,99,91,93,98,10.3,0.66,4.94,2.62,0.76
RGS,Consumer Cyclical,Personal Services,424.29,553.89,1430.79,1430.79,288.94,119.84,99,99,97,76,24.12,0.66,24.03,14.66,0.82
SMMT,Healthcare,Biotechnology,396.28,429.14,549.77,871.43,527.73,184.89,99,99,98,94,20.03,0.61,18.86,9.04,0.36
DUO,Real Estate,Real Estate Services,372.5,372.5,316.5,547.59,449.73,89.67,99,99,98,9,1.15,0.2,1.0,0.67,0.11
NOVVU,Financial Services,Shell Companies,368.6,368.6,322.25,158.0,93.85,93.15,99,95,19,21,41.0,1.0,29.27,16.11,0.0
STEC,Technology,Software—Application,364.24,364.24,168.19,112.9,55.33,47.2,99,76,1,1,1.2,0.14,0.57,0.79,0.12
ASTS,Technology,Communication Equipment,363.69,389.31,525.64,697.0,362.3,145.11,99,99,98,89,26.26,0.66,27.8,11.93,0.41
KZIA,Healthcare,Biotechnology,356.32,407.91,630.99,515.6,164.14,77.26,99,99,92,4,0.58,0.37,0.4,0.34,0.55
TIL,Healthcare,Biotechnology,352.53,352.53,336.33,189.61,134.15,141.77,99,97,87,88,31.81,0.33,37.26,17.67,0.19
COMM,Technology,Communication Equipment,349.56,349.56,346.55,265.26,102.91,113.27,99,98,53,67,6.18,0.93,5.24,2.51,1.32
NEON,Technology,Electronic Components,348.61,348.61,345.34,257.08,161.92,135.52,99,98,92,86,7.94,0.62,7.65,3.45,0.24
GLMD,Healthcare,Biotechnology,344.16,344.16,297.72,132.99,100.11,103.64,99,90,44,46,4.54,0.14,4.79,4.38,0.04
PSNL,Healthcare,Diagnostics & Research,340.12,380.66,392.14,341.99,113.6,159.51,99,98,74,92,4.69,0.69,5.29,2.58,0.41
ADD,Communication Services,Entertainment,321.45,339.53,379.38,304.68,91.51,146.36,98,98,15,89,0.18,0.01,0.75,0.39,0.54
NOVV,Financial Services,Shell Companies,319.58,319.58,280.09,145.09,97.77,92.66,98,93,37,20,37.0,1.0,26.68,15.55,0.0
NUZE,Consumer Defensive,Packaged Foods,318.3,318.3,251.55,266.61,125.43,86.35,98,98,83,6,1.23,0.16,1.05,1.63,0.24
TWG,Consumer Defensive,Food Distribution,314.7,314.7,198.51,97.53,102.44,98.1,98,39,51,31,9.5,0.96,2.28,1.52,0.31
ZAPP,Consumer Cyclical,Auto Manufacturers,313.96,465.99,1527.51,1948.14,255.04,118.44,98,99,97,74,2.57,0.11,3.38,4.56,0.5
DSY,Consumer Defensive,Household & Personal Products,306.69,306.69,248.19,127.92,92.48,92.18,98,89,17,17,4.13,0.33,4.17,6.5,0.69
NUTX,Healthcare,Health Information Services,287.34,287.34,277.39,204.04,52.93,101.97,98,97,1,41,23.61,0.51,21.24,14.02,0.63
PRTG,Healthcare,Biotechnology,285.33,285.33,257.32,136.63,67.36,69.43,98,92,2,2,5.64,0.09,5.39,7.71,0.01
NISN,Industrials,Specialty Business Services,284.88,309.52,331.5,259.88,151.4,159.32,98,98,91,92,10.83,0.46,13.34,7.65,0.62
TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,280.48,286.87,283.9,205.88,92.27,141.34,98,97,16,88,6.4,0.85,5.01,3.11,0.81
LCFY,Communication Services,Internet Content & Information,269.89,316.56,385.28,306.01,88.66,119.95,98,98,11,76,5.1,0.37,5.79,5.0,0.65
