Ticker,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
TECX,Healthcare,Biotechnology,7566.15,13538.63,184361.22,229242.39,5763.99,86.65,99,99,99,7,36.31,0.97,23.95,17.94,0.88
MIRA,Healthcare,Drug Manufacturers—General,4722.27,7407.42,7191.23,4416.18,104.08,99.57,99,99,56,33,1.05,0.11,1.42,1.17,0.29
DRUG,Healthcare,Biotechnology,1080.4,1080.4,167.63,102.84,88.7,125.62,99,54,11,81,47.17,0.98,5.66,2.43,0.61
GNLN,Consumer Defensive,Tobacco,920.54,920.54,805.42,426.22,126.12,96.98,99,98,83,28,4.68,0.17,5.81,5.3,0.1
RGC,Healthcare,Drug Manufacturers—Specialty & Generic,878.92,1047.09,1005.26,712.96,90.23,63.46,99,99,13,2,5.04,0.13,6.45,6.12,0.28
ASNS,Technology,Communication Equipment,613.09,843.4,3532.87,17038.56,3030.87,100.74,99,99,99,36,1.35,0.28,1.49,1.24,0.12
SERV,Industrials,Specialty Industrial Machinery,610.72,737.83,730.38,505.92,58.76,92.23,99,99,2,14,9.68,0.36,8.83,6.26,0.85
LUMN,Communication Services,Telecom Services,555.96,555.96,536.76,360.65,97.59,120.09,99,98,36,76,6.13,0.82,6.15,2.72,0.79
LASE,Industrials,Specialty Industrial Machinery,551.96,551.96,486.05,233.46,249.62,180.12,99,97,97,94,5.75,0.28,7.15,3.11,0.36
CING,Healthcare,Biotechnology,547.2,547.2,489.87,279.01,60.54,104.74,99,98,2,47,5.19,0.03,6.25,13.33,0.02
QH,Technology,Software—Application,515.37,515.37,413.1,142.77,78.11,94.72,99,93,4,23,1.48,0.83,0.97,0.82,0.0
GDC,Communication Services,Electronic Gaming & Multimedia,469.27,485.28,487.7,405.52,89.13,96.21,99,98,12,26,1.93,0.18,3.95,2.02,0.03
RGS,Consumer Cyclical,Personal Services,448.28,579.92,1430.99,1404.12,269.01,120.75,99,99,97,76,25.95,0.72,24.02,14.59,0.58
CNEY,Basic Materials,Specialty Chemicals,445.01,445.01,344.76,106.21,58.88,83.23,99,63,2,5,0.63,0.12,0.5,0.81,0.02
VRAX,Healthcare,Biotechnology,432.01,436.65,438.13,416.96,150.0,56.95,99,98,91,2,1.68,0.18,2.8,1.44,0.09
SMMT,Healthcare,Biotechnology,403.69,434.68,549.96,871.95,513.33,189.13,99,99,98,95,20.59,0.62,18.69,8.95,0.17
CHSN,Consumer Cyclical,Restaurants,396.45,396.45,251.87,136.95,174.62,308.27,99,92,93,98,11.98,0.78,4.77,2.57,1.73
ASTS,Technology,Communication Equipment,371.45,393.31,525.71,697.17,352.23,150.49,99,99,98,90,27.89,0.71,27.69,11.82,0.6
KZIA,Healthcare,Biotechnology,365.02,432.73,630.98,508.29,158.31,77.76,99,99,92,3,0.57,0.36,0.39,0.34,0.47
DUO,Real Estate,Real Estate Services,361.67,361.67,303.33,547.77,445.15,93.02,99,99,98,19,1.25,0.22,0.98,0.67,0.22
NOVVU,Financial Services,Shell Companies,359.53,359.53,312.8,149.58,93.95,94.44,99,94,19,23,41.0,1.0,28.71,15.96,0.0
TIL,Healthcare,Biotechnology,350.59,350.59,331.13,179.14,135.35,141.48,99,96,87,88,33.58,0.35,36.83,17.55,0.26
COMM,Technology,Communication Equipment,349.22,349.22,346.35,258.6,101.14,117.74,99,98,47,73,5.97,0.89,5.19,2.49,0.74
NEON,Technology,Electronic Components,348.61,348.61,345.34,249.36,161.61,135.89,99,98,92,86,8.44,0.67,7.55,3.42,0.13
PSNL,Healthcare,Diagnostics & Research,347.0,385.6,392.22,336.46,110.65,170.84,99,98,69,93,4.7,0.7,5.29,2.57,0.24
ZAPP,Consumer Cyclical,Auto Manufacturers,338.9,511.46,1527.15,1947.57,236.12,115.13,99,99,96,69,2.74,0.12,3.46,4.58,0.41
GLMD,Healthcare,Biotechnology,334.09,334.09,289.8,122.72,99.84,98.08,99,86,43,30,4.81,0.16,4.77,4.39,0.04
ADD,Communication Services,Entertainment,325.72,345.04,379.5,291.89,91.67,153.57,99,98,15,91,0.2,0.02,0.77,0.39,0.48
STEC,Technology,Software—Application,315.58,315.58,140.36,111.24,55.44,46.74,98,74,1,1,1.16,0.14,0.55,0.79,0.12
NOVV,Financial Services,Shell Companies,311.88,311.88,271.97,137.99,97.8,92.64,98,92,37,17,37.0,1.0,26.19,15.42,0.0
NUZE,Consumer Defensive,Packaged Foods,301.0,301.0,251.62,266.7,125.59,91.64,98,98,83,11,1.23,0.16,1.07,1.64,0.47
DSY,Consumer Defensive,Household & Personal Products,296.23,296.23,236.24,123.03,92.63,92.65,98,86,17,17,4.72,0.39,4.11,6.54,0.36
NISN,Industrials,Specialty Business Services,291.57,313.48,331.52,252.69,151.66,161.23,98,98,91,92,11.32,0.48,13.32,7.61,1.05
TWG,Consumer Defensive,Food Distribution,286.87,286.87,182.83,94.67,102.59,96.7,98,26,52,27,9.83,1.0,2.11,1.46,0.34
CMAX,Healthcare,Health Information Services,286.13,332.98,324.23,315.18,74.95,44.93,98,98,4,1,1.82,0.0,2.27,4.41,0.24
NUTX,Healthcare,Health Information Services,285.55,285.55,274.74,199.06,51.73,105.6,98,97,1,49,24.82,0.54,21.03,14.08,0.82
TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,284.07,286.88,282.0,201.58,93.55,142.11,98,97,19,88,6.54,0.88,4.96,3.1,0.44
PRTG,Healthcare,Biotechnology,280.47,280.47,249.79,130.74,66.58,70.88,98,90,2,2,5.94,0.1,5.33,7.8,0.01
LCFY,Communication Services,Internet Content & Information,278.17,328.73,385.3,298.67,85.14,121.39,98,98,8,77,5.53,0.43,5.79,5.02,0.27
LUCY,Healthcare,Medical Instruments & Supplies,265.87,288.05,461.6,2027.37,1203.22,92.18,98,99,99,12,6.99,0.23,6.36,6.96,0.02
NCNA,Healthcare,Biotechnology,264.77,264.77,256.05,172.88,74.46,78.27,98,96,3,4,1.85,0.0,3.66,4.88,0.06
CLOV,Healthcare,Healthcare Plans,258.91,258.91,257.16,241.67,142.7,99.67,98,98,89,34,3.94,0.91,3.21,1.59,0.71
MBIO,Healthcare,Biotechnology,253.46,306.96,936.74,1568.87,244.06,82.6,98,99,97,5,0.28,0.09,0.27,0.61,15.29
DOGZ,Consumer Cyclical,Leisure,253.21,253.21,235.55,275.19,282.22,217.39,98,98,97,96,52.95,1.0,28.35,14.09,0.9
BOF,Consumer Defensive,Packaged Foods,252.39,252.39,231.9,137.36,192.5,153.3,98,92,95,91,1.73,0.4,1.7,1.57,0.01
RAIL,Industrials,Railroads,247.22,247.22,226.09,157.93,124.58,121.62,98,95,82,77,12.66,0.97,9.39,4.86,0.53
CRVS,Healthcare,Biotechnology,246.18,246.18,230.92,183.12,108.8,148.36,98,96,66,90,7.75,1.0,5.16,2.84,3.04
SRRK,Healthcare,Biotechnology,239.28,239.28,161.53,77.54,103.54,180.55,98,7,55,94,29.1,0.81,13.59,13.02,0.62
RCAT,Technology,Computer Hardware,234.91,248.05,254.3,243.86,162.76,102.59,98,98,92,42,2.85,0.74,2.98,1.57,0.8
HROW,Healthcare,Drug Manufacturers—Specialty & Generic,233.32,233.32,231.29,228.29,159.25,101.5,98,97,92,39,56.98,0.99,45.02,22.71,0.82
GOVX,Healthcare,Biotechnology,229.31,249.71,356.25,363.57,120.79,73.36,98,98,80,3,2.06,0.13,3.45,2.65,0.29
EOSE,Industrials,Electrical Equipment & Parts,226.91,233.18,267.11,266.96,126.21,90.1,98,98,83,9,3.1,0.87,2.62,1.48,0.55
