Ticker,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
TECX,Healthcare,Biotechnology,11966.37,23322.49,229248.54,185521.93,3030.0,86.71,99,99,99,7,35.4,1.0,22.32,17.55,0.92
MIRA,Healthcare,Drug Manufacturers—General,7274.64,7274.64,6724.11,3795.18,102.61,92.77,99,99,52,13,1.05,0.11,1.51,1.17,
RGC,Healthcare,Drug Manufacturers—Specialty & Generic,1023.29,1023.29,920.75,637.44,90.09,67.25,99,99,13,2,5.42,0.15,6.95,6.23,
GNLN,Consumer Defensive,Tobacco,827.88,827.88,716.2,357.27,126.67,93.26,99,98,84,13,4.44,0.16,5.89,5.33,
ASNS,Technology,Communication Equipment,782.58,1160.76,6168.28,17030.45,2130.6,94.64,99,99,99,16,1.29,0.26,1.48,1.23,
SERV,Industrials,Specialty Industrial Machinery,736.99,736.99,686.34,451.47,61.98,95.1,99,98,2,19,8.66,0.31,9.14,6.16,
RGS,Consumer Cyclical,Personal Services,553.63,697.5,1430.53,1274.63,203.63,118.64,99,99,95,75,26.69,0.74,23.69,14.17,
LUMN,Communication Services,Telecom Services,541.24,541.24,510.94,316.43,97.16,117.64,99,98,36,74,6.18,0.83,6.08,2.61,
LASE,Industrials,Specialty Industrial Machinery,502.06,502.06,419.88,199.32,247.4,163.75,99,97,97,93,8.6,0.44,6.91,2.99,
CING,Healthcare,Biotechnology,501.18,501.18,447.62,235.43,62.36,104.81,99,97,2,48,4.45,0.02,6.13,14.99,
GDC,Communication Services,Electronic Gaming & Multimedia,483.6,487.7,486.38,364.45,80.35,99.04,99,98,5,32,2.32,0.24,3.96,2.03,
ZAPP,Consumer Cyclical,Auto Manufacturers,465.2,756.38,1810.93,1943.1,158.72,96.32,99,99,92,26,2.75,0.12,3.89,4.65,
VRAX,Healthcare,Biotechnology,436.51,438.19,435.83,411.01,142.06,62.86,99,98,89,2,1.7,0.19,2.79,1.44,
QH,Technology,Software—Application,433.75,433.75,338.48,106.06,79.21,96.67,99,64,5,27,1.69,0.97,0.87,0.81,
SMMT,Healthcare,Biotechnology,429.12,463.15,589.58,871.36,456.94,184.2,99,99,98,95,23.46,0.72,17.84,8.58,0.79
KZIA,Healthcare,Biotechnology,407.91,552.0,630.98,482.54,127.47,80.62,99,98,84,4,0.33,0.13,0.38,0.34,
