Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
TV,Communication Services,Telecom Services,2.41,5.7,-36.0,14.09,2.32,,13000000241.24,35.8,-12.8,130.645,0.07,99,18
LUNR,Industrials,Aerospace & Defense,9.52,9.18,-7.84,-3.79,-4.58,,6003048585.26,-0.18,86.3,4.81,,99,91
BZFD,Communication Services,Internet Content & Information,2.74,3.84,-9.17,4.0,2.88,,4060600261.41,-1.12,-33.43,6.229,,99,9
CART,Consumer Cyclical,Internet Retail,48.66,-1.14,22.69,1.05,22000000.0,47000000.0,2299999598.84,-5.56,10.42,13.986,,99,75
ACDC,Energy,Oil & Gas Equipment & Services,7.14,0.45,-38.22,55.43,-0.71,,1882715557.89,-1.46,20.33,13.891,,99,82
KNTK,Energy,Oil & Gas Midstream,56.42,3.5,-13.17,7.1,0.32,,1644444577.35,3.05,21.79,24.799,19.0,99,83
PBYI,Healthcare,Biotechnology,3.03,0.0,-11.0,-11.0,-3.0,-4.33,1311110962.48,0.18,-18.78,5.045,16.0,99,13
STR,Energy,Oil & Gas E&P,24.93,-0.07,0.6,0.93,41.71,17.0,1222224190.49,-0.05,35.89,7.605,,99,87
ALCY,Financial Services,Shell Companies,10.9,0.0,0.0,0.0,0.5,5997.0,1033533333.54,0.4,-8.71,,27.25,99,29
BRDG,Financial Services,Asset Management,10.0,-3.18,1.4,3.5,1.18,7.0,1033333656.07,-0.18,2.14,12.996,,99,63
LDI,Financial Services,Mortgage Finance,2.73,0.06,-0.27,-0.67,-0.38,,966666710.79,-0.51,-51.77,5.372,,99,7
EE,Energy,Oil & Gas Midstream,24.43,0.12,0.71,-2.79,0.17,,566666775.89,1.01,-80.25,31.847,26.33,99,6
HLXB,Financial Services,Shell Companies,10.58,0.12,0.5,1.0,9000000.0,8000000.0,566666389.11,0.17,-8.71,,61.97,99,29
MDXG,Healthcare,Biotechnology,7.44,-1.4,1.0,0.0,-0.2,12000000.0,400000133.97,0.58,-4.34,2.447,12.98,99,46
ANSC,Financial Services,Shell Companies,10.4,-1.0,1.0,5000000.0,5000000.0,5261.39,166877705.87,0.26,-8.71,,40.04,99,29
NXT,Technology,Solar,41.35,-0.07,0.12,0.14,0.25,0.95,22224540.29,3.88,7.84,23.08,10.35,99,72
AACT,Financial Services,Shell Companies,10.87,0.08,0.01,0.01,0.57,20418.96,895015.37,0.46,-8.71,,23.61,99,29
VLCN,Consumer Cyclical,Auto Manufacturers,0.7001,215.56,12.16,0.92,12654.98,19.47,422581.7,-69741.25,191.01,29.127,,99,93
ALLR,Healthcare,Biotechnology,1.4,200.27,0.51,0.34,4776.55,101.07,162735.55,-10.98,-8.71,,,99,29
JVSA,Financial Services,Shell Companies,10.4,-0.07,0.5,1.0,1415.0,1516.0,96673.62,0.09,-8.71,,115.33,99,29
KVAC,Financial Services,Shell Companies,10.86,-2.65,1.38,1.27,6.5,1546.46,91003.92,0.75,-8.71,,14.49,99,29
GHIX,Financial Services,Shell Companies,10.58,-1.13,-8.5,0.0,-3.67,,84076.02,-0.34,-8.71,,,99,29
CALC,Healthcare,Biotechnology,3.5,-37.0,41.5,1.02,2.08,2344.0,78418.61,-0.17,-8.71,,,99,29
ATMC,Financial Services,Shell Companies,11.31,-0.15,0.91,9.86,-0.82,-0.2,66982.5,0.2,-8.71,,56.55,99,29
DDL,Consumer Defensive,Grocery Stores,4.23,1.0,5.67,1.02,1567.54,2.67,52629.01,-0.02,17.94,95.708,,99,81
PRPL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",0.8122,-1435.21,1873.44,-0.16,-0.06,1554.72,51682.68,-1.05,-23.74,4.734,,98,11
IRWD,Healthcare,Drug Manufacturers—Specialty & Generic,4.66,2.0,-2.0,-11.0,683.0,,45564.23,-0.01,-16.41,2.549,,98,14
ATNF,Healthcare,Biotechnology,2.93,169.0,6.79,0.87,1338.0,13.37,45193.79,-11.2,-8.71,,,98,29
RBC,Industrials,Tools & Accessories,317.71,0.0,-0.01,0.37,0.21,1253.89,41899.89,6.84,6.4,54.835,46.76,98,70
GODN,Financial Services,Shell Companies,11.17,-0.84,6.37,-0.5,1.0,0.7,40816.23,-1.16,-8.71,,,98,29
WEX,Technology,Software—Infrastructure,183.9,0.38,0.18,-0.27,4.95,,37043.77,7.88,-2.43,63.937,23.36,98,51
ASTI,Technology,Solar,2.78,6.57,3.31,0.77,947.57,63.55,33808.03,7068.0,-102.5,1.79,0.0,98,5
ESHA,Financial Services,Shell Companies,10.69,-0.14,0.33,16.61,358.12,,25230.93,0.36,-8.71,,29.69,98,29
EHAB,Healthcare,Medical Care Facilities,7.92,-3.51,14.0,-1.6,372.25,,24871.36,-2.32,-9.49,20.661,,98,23
TMTC,Financial Services,Shell Companies,7.26,-0.47,0.27,0.38,-0.53,4.28,23303.13,0.29,-8.71,,28.97,98,29
MRNA,Healthcare,Biotechnology,50.28,112.0,-0.08,-6.39,318.67,,21475.84,-5.41,680.2,13.275,,98,94
KNDI,Consumer Cyclical,Auto Parts,1.37,0.29,0.41,-4.47,3.0,,21047.25,-0.04,44.63,1.466,,98,88
RNAZ,Healthcare,Biotechnology,0.47,-0.14,51.19,0.98,191.41,397.57,19800.11,259.35,-8.71,,0.0,98,29
BCAN,Technology,Software - Application,8.09,6759.99,-0.8,-3.95,576.0,-17.22,18625.53,-1068.62,30.32,7.624,,98,86
ZVSA,Healthcare,Biotechnology,1.52,0.37,2.98,0.75,510.82,29.0,18040.47,1071.52,-8.71,,0.0,98,29
NL,Industrials,Security & Protection Services,7.86,3.62,0.14,1.02,524.7,3.67,17553.38,1.24,-17.74,3.085,6.62,98,13
CRKN,Basic Materials,Specialty Chemicals,0.9734,2.31,3.12,0.76,460.85,36.54,16769.56,3117.84,58888888897188.28,10.23,0.0,98,95
PHUN,Technology,Software—Application,6.42,50.56,11.62,0.92,483.37,5.27,16373.03,-14.37,-37.63,0.804,,98,8
AIRS,Healthcare,Medical Care Facilities,7.19,-2.67,1.86,2.17,-3.0,404.21,13041.92,-0.06,2.38,3.373,,98,63
LSH,Industrials,Integrated Freight & Logistics,2.61,0.0,0.0,425.0,212.0,-1.0,12801.88,-0.04,15.31,3.053,,98,79
PTON,Consumer Cyclical,Leisure,8.02,32.67,4.62,0.2,184.18,,12253.05,-1.19,-14.69,7.26,,98,16
TLSI,Healthcare,Medical Devices,4.18,1.86,1.6,-11.0,169.67,,11755.28,52.88,47.21,1.178,0.08,98,89
YPF,Energy,Oil & Gas Integrated,29.32,-0.26,1.81,2.23,0.53,0.91,11132.61,-2.09,7.52,29648.668,,98,71
BOC,Industrials,Conglomerates,15.8,0.29,-0.29,-0.4,-2.4,0.22,10522.51,-0.33,8.7,3.239,,98,73
IRM,Real Estate,REIT—Specialty,116.92,-2.09,-1.08,-0.12,-3.82,305.9,10136.05,0.37,2.67,20.438,323.54,98,64
PRSO,Technology,Semiconductors,1.15,-69.28,465.54,-14.6,141.13,,9494.49,-16.49,52.6,8.774,,98,89
EXEL,Healthcare,Biotechnology,35.8,-0.9,5.5,-1.33,123.24,,8309.44,1.57,8.13,7.032,23.09,98,72
KVYO,Technology,Software—Infrastructure,33.78,1.0,1.5,1.0,123.0,,8201.99,-0.15,32.16,3.298,,98,86
CARG,Consumer Cyclical,Auto & Truck Dealerships,33.36,4.0,-4.3,2.05,0.1,,8060.73,-0.5,2.19,8.361,,98,63
SNCR,Technology,Software—Infrastructure,11.27,-23.0,15.83,-5.59,114.0,,7695.81,-1.93,-12.4,16.963,,98,19
BNTX,Healthcare,Biotechnology,107.88,5.1,-1.56,-3.09,0.22,-3.25,7681.29,-2.14,403.06,12.618,,98,94
MULN,Consumer Cyclical,Auto Manufacturers,1.76,1.45,-0.27,35.87,139.86,59.19,7142.38,153750.69,406666666666409.8,2.51,0.0,98,96
