Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
CYCC,Healthcare,Biotechnology,8.97,528000000.0,-0.83,3.0,3632000000.0,,242133333099.22,43.2,273333333333230.2,0.016,0.2,99,96
AKTX,Healthcare,Biotechnology,1.01,11871550.0,1.0,2.38,0.0,,5999999638.25,0.0,-5.75,,,99,31
APPN,Technology,Software - Infrastructure,29.18,2000000.0,8.0,-5.0,60000000.0,,3999999631.67,-0.23,11.53,8.93,,99,75
COE,Consumer Defensive,Education & Training Services,32.06,0.0,10923000.0,0.98,60000000.0,,3999999628.89,-0.6,275.96,10.235,,99,94
BXMT,Real Estate,REIT - Mortgage,18.78,4000000.0,16000000.0,1.0,9.75,71000000.0,2366666589.43,-0.07,-2.82,1.371,,99,42
ACDC,Energy,Oil & Gas Equipment & Services,6.12,-4.58,4.46,-1.26,-0.6,,1882715092.8,-1.75,6.9,13.314,,99,70
ACTG,Industrials,Business Equipment & Supplies,3.325,2.79,0.0,-0.75,25000000.0,,1666666299.01,-0.05,275.35,2.546,,99,94
ASPC,Financial Services,Shell Companies,10.27,1.35,3.85,-26.75,20107200.0,,1340474600.37,0.02,-5.75,,513.5,99,31
BN,Financial Services,Asset Management,64.9,6.5,-12.0,25.0,15000000.0,,999999599.41,0.44,-23.03,119.087,147.07,99,12
CALX,Technology,Software - Infrastructure,56.68,7000000.0,2.86,-3.5,12000000.0,,799999550.84,-0.41,11.46,13.213,,99,75
CMRC,Technology,Software - Application,4.52,0.0,3000000.0,2.0,15000000.0,8000000.0,766666320.54,-0.23,1.41,4.282,,98,57
ARQ,Industrials,Pollution & Treatment Controls,6.19,3000000.0,-2.33,2.5,9000000.0,,599999568.74,-0.05,12.11,3.084,,98,76
EE,Energy,Oil & Gas Midstream,24.42,0.07,0.25,0.33,1.0,,566666380.15,1.49,35.75,38.914,16.32,98,88
ALCY,Financial Services,Shell Companies,11.5,-5.67,-5.67,0.11,-2.29,,516666146.94,0.16,-5.75,,73.25,98,31
BWAY,Healthcare,Medical Devices,11.83,-0.33,1.0,0.0,6000000.0,,399999672.84,0.22,16.24,2.356,53.45,98,80
CDE,Basic Materials,Gold,11.28,0.83,-0.5,-0.33,11000000.0,2.33,366666396.82,0.4,74.89,3.009,29.12,98,91
GLBZ,Financial Services,Banks - Regional,4.0,6.0,-5.0,2.75,5000000.0,,333332808.63,0.01,-8.45,4.316,407.28,98,22
ASM,Basic Materials,Other Precious Metals & Mining,3.71,0.0,3.0,0.0,4000000.0,,266666401.67,0.1,48.68,0.529,38.1,98,90
CLOV,Healthcare,Healthcare Plans,2.21,4000000.0,-1.0,-3.0,4000000.0,,266666364.81,-0.08,15.33,3.211,,98,79
CEPO,Financial Services,Shell Companies,10.46,1.03,36.8,2.08,4000000.0,,266666312.93,0.04,-5.75,,264.5,98,31
BB,Technology,Software - Infrastructure,3.66,1000000.0,1.0,0.5,7000000.0,9.0,233332610.05,0.02,-10.47,0.899,180.5,98,19
ARMN,Basic Materials,Gold,8.01,1000000.0,1000000.0,-5.0,2.0,4000000.0,133332440.99,0.16,28.55,3.376,46.62,98,86
CFSB,Financial Services,Banks - Regional,13.88,3000000.0,-30.48,-32.48,1000000.0,,66666057.18,0.0,-0.84,1.192,,98,48
