Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
LUNR,Industrials,Aerospace & Defense,8.35,9.18,-7.84,-3.79,-4.58,,6003048639.06,-0.17,82.81,4.81,,99,91
BZFD,Communication Services,Internet Content & Information,2.47,3.84,-9.17,4.0,2.88,,4060600315.2,-1.12,-36.92,6.229,,99,9
CART,Consumer Cyclical,Internet Retail,42.7,-1.14,22.69,1.05,22000000.0,47000000.0,2299999652.64,-5.56,6.93,13.986,,99,76
ACDC,Energy,Oil & Gas Equipment & Services,6.58,-37.89,55.43,-1.92,-19.82,,1882714337.56,-1.43,5.47,13.919,,99,74
KNTK,Energy,Oil & Gas Midstream,49.72,3.5,-13.17,7.1,0.32,,1644444631.15,2.83,18.31,24.316,17.89,99,83
PBYI,Healthcare,Biotechnology,2.83,0.0,-11.0,-11.0,-3.0,-4.33,1311111016.28,0.19,-22.27,4.574,15.16,99,13
STR,Energy,Oil & Gas E&P,22.66,0.6,0.93,13.74,17.0,-1.8,1222222793.93,-0.21,51.35,7.657,,99,90
ALCY,Financial Services,Shell Companies,10.91,0.0,0.0,0.0,0.5,5997.0,1033533387.33,0.4,-12.2,,27.27,99,30
BRDG,Financial Services,Asset Management,10.73,-3.18,1.4,3.5,1.18,7.0,1033333709.87,-0.18,-1.34,12.534,,99,63
LDI,Financial Services,Mortgage Finance,2.14,0.06,-0.27,-0.67,-0.38,,966666764.58,-0.62,-55.26,5.074,,99,7
EE,Energy,Oil & Gas Midstream,23.0,0.12,0.71,-2.79,0.17,,566666829.69,1.12,-83.74,34.625,20.84,99,6
HLXB,Financial Services,Shell Companies,10.36,0.12,0.5,1.0,9000000.0,8000000.0,566666442.9,0.17,-12.2,,60.94,99,30
MDXG,Healthcare,Biotechnology,5.83,1.0,0.0,0.0,12000000.0,2.0,400000261.1,0.57,-5.28,2.571,10.21,99,54
ANSC,Financial Services,Shell Companies,10.36,-1.0,1.0,5000000.0,5000000.0,5261.39,166877759.66,0.25,-12.2,,41.44,99,30
NXT,Technology,Solar,33.57,0.12,0.14,0.05,0.95,37.25,22225827.41,3.78,30.53,27.133,8.87,99,87
AACT,Financial Services,Shell Companies,10.85,0.08,0.01,0.01,0.57,20418.96,895069.16,0.46,-12.2,,23.57,99,30
VLCN,Consumer Cyclical,Auto Manufacturers,1.01,215.56,12.16,0.92,12654.98,19.47,422635.5,-8090.18,187.52,29.127,,99,93
ALLR,Healthcare,Biotechnology,1.71,200.27,0.51,0.34,4776.55,101.07,162789.34,-10.98,-12.2,,,99,30
JVSA,Financial Services,Shell Companies,10.32,-0.07,0.5,1.0,1415.0,1516.0,96727.41,0.09,-12.2,,114.83,99,30
KVAC,Financial Services,Shell Companies,10.77,1.38,2.9,1.53,1546.46,136.9,95404.43,0.51,-12.2,,21.12,99,30
GHIX,Financial Services,Shell Companies,10.58,-1.13,-8.5,0.0,-3.67,,84129.82,-0.34,-12.2,,,99,30
CALC,Healthcare,Biotechnology,3.97,-37.0,41.5,1.02,2.08,2344.0,78472.41,-0.17,-12.2,,,99,30
ATMC,Financial Services,Shell Companies,11.24,-0.15,0.91,9.86,-0.82,-0.2,67036.29,0.2,-12.2,,56.2,99,30
PRPL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",0.9239,1873.44,-0.16,-0.19,1554.72,-0.81,51711.51,-0.99,-13.84,4.96,,99,23
IRWD,Healthcare,Drug Manufacturers—Specialty & Generic,4.44,2.0,-2.0,-11.0,683.0,,45618.03,0.08,-19.9,2.549,55.0,99,15
ATNF,Healthcare,Biotechnology,4.33,169.0,6.79,0.87,1338.0,13.37,45247.59,-11.2,-12.2,,,98,30
