Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
LUNR,Industrials,Aerospace & Defense,7.12,9.18,-7.84,-3.79,-4.58,,6003048673.81,-0.17,83.11,4.81,,99,91
BZFD,Communication Services,Internet Content & Information,2.69,3.84,-9.17,4.0,2.88,,4060600349.95,-1.12,-36.62,6.229,,99,9
CART,Consumer Cyclical,Internet Retail,43.99,-1.14,22.69,1.05,22000000.0,47000000.0,2299999687.39,-5.56,7.22,13.986,,99,76
ACDC,Energy,Oil & Gas Equipment & Services,7.09,-37.89,55.43,-1.92,-19.82,,1882714372.32,-1.43,5.76,13.919,,99,74
KNTK,Energy,Oil & Gas Midstream,48.78,3.5,-13.17,7.1,0.32,,1644444665.9,2.83,18.6,24.316,17.17,99,83
PBYI,Healthcare,Biotechnology,2.65,0.0,-11.0,-11.0,-3.0,-4.33,1311111051.03,0.19,-21.97,4.574,14.24,99,13
STR,Energy,Oil & Gas E&P,21.96,0.6,0.93,13.74,17.0,-1.8,1222222828.68,-0.21,51.65,7.657,,99,90
ALCY,Financial Services,Shell Companies,10.9,0.0,0.0,0.0,0.5,5997.0,1033533422.08,0.4,-11.91,,27.26,99,30
BRDG,Financial Services,Asset Management,9.75,-3.18,1.4,3.5,1.18,7.0,1033333744.62,-0.18,-1.05,12.534,,99,63
LDI,Financial Services,Mortgage Finance,2.17,0.06,-0.27,-0.67,-0.38,,966666799.33,-0.62,-54.96,5.074,,99,7
EE,Energy,Oil & Gas Midstream,22.68,0.12,0.71,-2.79,0.17,,566666864.44,1.12,-83.45,34.625,20.12,99,6
HLXB,Financial Services,Shell Companies,10.45,0.12,0.5,1.0,9000000.0,8000000.0,566666477.66,0.17,-11.91,,60.88,99,30
MDXG,Healthcare,Biotechnology,5.62,1.0,0.0,0.0,12000000.0,2.0,400000295.85,0.57,-4.99,2.571,9.67,99,54
ANSC,Financial Services,Shell Companies,10.36,-1.0,1.0,5000000.0,5000000.0,5261.39,166877794.42,0.25,-11.91,,41.44,99,30
NXT,Technology,Solar,35.24,0.12,0.14,0.05,0.95,37.25,22225862.16,3.78,30.83,27.133,8.98,99,87
AACT,Financial Services,Shell Companies,10.82,0.08,0.01,0.01,0.57,20418.96,895103.91,0.46,-11.91,,23.55,99,30
VLCN,Consumer Cyclical,Auto Manufacturers,0.7726,215.56,12.16,0.92,12654.98,19.47,422670.25,-8090.18,187.81,29.127,,99,93
ALLR,Healthcare,Biotechnology,1.47,200.27,0.51,0.34,4776.55,101.07,162824.09,-10.98,-11.91,,,99,30
JVSA,Financial Services,Shell Companies,10.34,-0.07,0.5,1.0,1415.0,1516.0,96762.16,0.09,-11.91,,115.0,99,30
KVAC,Financial Services,Shell Companies,10.77,1.38,2.9,1.53,1546.46,136.9,95439.18,0.51,-11.91,,21.17,99,30
GHIX,Financial Services,Shell Companies,10.59,-1.13,-8.5,0.0,-3.67,,84164.57,-0.34,-11.91,,,99,30
CALC,Healthcare,Biotechnology,3.87,-37.0,41.5,1.02,2.08,2344.0,78507.16,-0.17,-11.91,,,99,30
ATMC,Financial Services,Shell Companies,11.26,-0.15,0.91,9.86,-0.82,-0.2,67071.04,0.2,-11.91,,56.2,99,30
PRPL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",0.9223,1873.44,-0.16,-0.19,1554.72,-0.81,51746.26,-0.99,-13.55,4.96,,99,22
