Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
LUNR,Industrials,Aerospace & Defense,7.23,9.18,-7.84,-3.79,-4.58,,6003048507.15,-0.17,86.5,4.81,,99,91
BZFD,Communication Services,Internet Content & Information,2.51,3.84,-9.17,4.0,2.88,,4060600183.3,-1.12,-33.22,6.229,,99,9
CART,Consumer Cyclical,Internet Retail,42.74,-1.14,22.69,1.05,22000000.0,47000000.0,2299999520.73,-5.56,10.62,13.986,,99,76
ACDC,Energy,Oil & Gas Equipment & Services,7.35,-37.89,55.43,-1.92,-19.82,,1882714205.66,-1.43,9.16,13.919,,99,74
KNTK,Energy,Oil & Gas Midstream,48.54,3.5,-13.17,7.1,0.32,,1644444499.24,2.83,22.0,24.316,17.56,99,83
PBYI,Healthcare,Biotechnology,2.71,0.0,-11.0,-11.0,-3.0,-4.33,1311110884.37,0.19,-18.58,4.574,15.0,99,13
STR,Energy,Oil & Gas E&P,22.27,0.6,0.93,13.74,17.0,-1.8,1222222662.02,-0.21,55.04,7.657,,99,90
ALCY,Financial Services,Shell Companies,10.9,0.0,0.0,0.0,0.5,5997.0,1033533255.42,0.4,-8.51,,27.25,99,30
BRDG,Financial Services,Asset Management,10.29,-3.18,1.4,3.5,1.18,7.0,1033333577.96,-0.18,2.35,12.534,,99,63
LDI,Financial Services,Mortgage Finance,2.04,0.06,-0.27,-0.67,-0.38,,966666632.67,-0.62,-51.57,5.074,,99,7
EE,Energy,Oil & Gas Midstream,22.56,0.12,0.71,-2.79,0.17,,566666697.78,1.12,-80.05,34.625,21.08,99,6
HLXB,Financial Services,Shell Companies,10.5,0.12,0.5,1.0,9000000.0,8000000.0,566666311.0,0.17,-8.51,,61.76,99,30
MDXG,Healthcare,Biotechnology,5.51,1.0,0.0,0.0,12000000.0,2.0,400000129.19,0.57,-1.59,2.571,10.02,99,54
ANSC,Financial Services,Shell Companies,10.36,-1.0,1.0,5000000.0,5000000.0,5261.39,166877627.76,0.25,-8.51,,41.44,99,30
NXT,Technology,Solar,33.96,0.12,0.14,0.05,0.95,37.25,22225695.51,3.78,34.22,27.133,9.43,99,87
AACT,Financial Services,Shell Companies,10.82,0.08,0.01,0.01,0.57,20418.96,894937.26,0.46,-8.51,,23.48,99,30
VLCN,Consumer Cyclical,Auto Manufacturers,0.81,215.56,12.16,0.92,12654.98,19.47,422503.59,-8090.18,191.21,29.127,,99,93
ALLR,Healthcare,Biotechnology,1.47,200.27,0.51,0.34,4776.55,101.07,162657.43,-10.98,-8.51,,,99,30
JVSA,Financial Services,Shell Companies,10.17,-0.07,0.5,1.0,1415.0,1516.0,96595.5,0.09,-8.51,,112.89,99,30
KVAC,Financial Services,Shell Companies,10.83,1.38,2.9,1.53,1546.46,136.9,95272.52,0.51,-8.51,,21.12,99,30
GHIX,Financial Services,Shell Companies,10.58,-1.13,-8.5,0.0,-3.67,,83997.91,-0.34,-8.51,,,99,30
CALC,Healthcare,Biotechnology,3.91,-37.0,41.5,1.02,2.08,2344.0,78340.5,-0.17,-8.51,,,99,30
ATMC,Financial Services,Shell Companies,11.26,-0.15,0.91,9.86,-0.82,-0.2,66904.38,0.2,-8.51,,56.2,99,30
PRPL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",0.9062,1873.44,-0.16,-0.19,1554.72,-0.81,51579.6,-0.99,-10.15,4.96,,99,23
IRWD,Healthcare,Drug Manufacturers—Specialty & Generic,4.21,2.0,-2.0,-11.0,683.0,,45486.12,0.08,-16.2,2.549,53.25,99,15
ATNF,Healthcare,Biotechnology,1.31,169.0,6.79,0.87,1338.0,13.37,45115.68,-11.2,-8.51,,,98,30
RBC,Industrials,Tools & Accessories,278.66,0.0,0.37,-0.13,1260.43,0.28,42041.99,6.8,7.78,54.524,41.31,98,72
GODN,Financial Services,Shell Companies,11.04,6.37,-2.28,-0.7,0.7,38.2,41978.03,0.27,-8.51,,41.04,98,30
WEX,Technology,Software—Infrastructure,210.47,0.18,-0.27,3.65,-0.2,,36622.09,5.79,1.81,62.581,36.9,98,62
KAR,Consumer Cyclical,Auto & Truck Dealerships,15.53,-14.58,1.5,1.0,506.74,,33862.54,0.08,-3.64,15.239,198.5,98,48
ASTI,Technology,Solar,2.7,6.57,3.31,0.77,947.57,63.55,33729.92,7068.0,-102.3,1.79,0.0,98,6
ESHA,Financial Services,Shell Companies,10.6,-0.14,0.33,16.61,358.12,,25152.82,0.36,-8.51,,29.5,98,30
EHAB,Healthcare,Medical Care Facilities,7.09,-3.51,14.0,-1.6,372.25,,24793.24,-0.17,-9.28,20.817,,98,24
TMTC,Financial Services,Shell Companies,11.22,-0.47,0.27,0.38,-0.53,4.28,23225.02,0.26,-8.51,,43.27,98,30
KNDI,Consumer Cyclical,Auto Parts,1.64,0.29,0.41,-4.47,3.0,,20969.14,-0.04,44.83,1.466,,98,89
RNAZ,Healthcare,Biotechnology,0.7294,-0.14,51.19,0.98,191.41,397.57,19722.0,268.14,-8.51,,0.0,98,30
BCAN,Technology,Software - Application,8.07,6759.99,-0.8,-3.95,576.0,-17.22,18547.42,-1092.52,30.53,7.624,,98,86
ZVSA,Healthcare,Biotechnology,2.33,0.37,2.98,0.75,510.82,29.0,17962.36,1163.36,-8.51,,0.0,98,30
CRKN,Basic Materials,Specialty Chemicals,1.28,2.31,3.12,0.76,460.85,36.54,16691.45,3117.84,58888888897188.49,10.23,0.0,98,96
PHUN,Technology,Software—Application,3.82,50.56,11.62,0.92,483.37,5.27,16294.92,-14.37,-37.43,0.804,,98,8
XELA,Technology,Software—Application,2.0,-0.03,-0.04,-0.04,0.18,461.76,16191.57,-16.63,-18.17,160.482,,98,13
AIRS,Healthcare,Medical Care Facilities,5.27,-2.67,1.86,2.17,-3.0,404.21,12963.81,-0.06,2.58,3.373,,98,64
LSH,Industrials,Integrated Freight & Logistics,2.71,0.0,0.0,425.0,212.0,-1.0,12723.76,-0.04,15.52,3.053,,98,80
LUMN,Communication Services,Telecom Services,6.28,-2.2,34.83,-24.37,176.6,,11719.05,-2.1,-20.74,13.927,,98,12
TLSI,Healthcare,Medical Devices,4.24,1.86,1.6,-11.0,169.67,,11677.16,52.25,47.42,1.178,0.08,98,89
YPF,Energy,Oil & Gas Integrated,24.25,-0.26,1.81,2.23,0.53,0.91,11054.5,-2.1,7.73,29648.668,,98,72
BOC,Industrials,Conglomerates,14.36,0.29,-0.29,-0.4,-2.4,0.22,10444.39,-0.33,8.91,3.239,,98,74
IRM,Real Estate,REIT—Specialty,119.02,-1.08,-0.12,-0.11,305.9,0.14,10189.75,0.78,3.41,19.885,154.28,98,65
SCNX,Healthcare,Pharmaceutical Retailers,7.08,-16.76,1.57,2.74,-5.72,305.31,9956.15,-24.38,-1258.98,7.171,,98,3
PRSO,Technology,Semiconductors,1.77,-69.28,465.54,-14.6,141.13,,9416.38,-16.49,52.8,8.774,,98,89
SLG,Real Estate,REIT—Office,67.39,-6.0,13.25,-5.45,139.75,,9208.87,-2.71,-21.67,14.092,,98,12
SNCR,Technology,Software—Infrastructure,12.99,-23.0,15.83,-5.59,114.0,,7617.69,-1.93,-12.19,16.963,,98,19
CARG,Consumer Cyclical,Auto & Truck Dealerships,30.31,-4.3,2.05,-2.05,-5.71,,7595.0,-0.48,-7.65,8.061,,98,37
BNTX,Healthcare,Biotechnology,118.37,-1.56,-3.09,-3.09,-3.25,-2.58,7509.71,-2.33,357.04,11.212,,98,94
SITC,Real Estate,REIT—Retail,17.21,9.62,-8.08,3.18,111.0,,7477.14,8.52,-19.44,9.663,2.03,98,13
GE,Industrials,Aerospace & Defense,188.12,-0.22,-0.04,5.08,59.0,,7157.27,3.71,-7.53,63.738,51.53,98,37
MULN,Consumer Cyclical,Auto Manufacturers,2.24,1.45,-0.27,35.87,139.86,59.19,7064.27,198478.14,406666666666410.06,2.51,0.0,98,96
BCSA,Financial Services,Shell Companies,11.59,-3.08,0.89,8.5,-3.36,206.29,6787.05,0.59,-8.51,,19.49,98,30
QRVO,Technology,Semiconductors,101.5,-5.58,46.99,-2.31,103.41,,6786.19,-0.27,14.62,41.376,,98,79
BFRI,Healthcare,Drug Manufacturers - Specialty & Generic,0.706,56.6,0.31,0.23,143.6,0.94,6466.53,-2.74,21.48,11.573,,98,83
SBXC,Financial Services,Shell Companies,10.76,0.0,0.0,0.0,0.17,6.0,6422.23,0.27,-8.51,,39.96,98,30
GLAC,Financial Services,Shell Companies,10.5,-13.73,1.01,70.01,134.32,46.45,6225.61,0.09,-8.51,,116.78,98,30
CALM,Consumer Defensive,Farm Products,89.5,0.01,0.01,7.6,153.0,-0.09,5882.5,8.73,47.05,54.437,10.36,98,89
SLNG,Energy,Oil & Gas Integrated,4.59,-54.06,0.0,9.0,83.59,,5794.75,0.15,26.96,3.864,30.6,98,85
DOCU,Technology,Software—Application,69.22,26.12,-0.09,-0.09,107.5,59.15,5611.9,4.72,4.42,13.937,14.6,98,67
SGD,Real Estate,Real Estate—Development,3.78,1.0,0.6,0.37,-0.65,-1.87,5586.24,-9.13,281079999999991.53,0.111,,98,96
NXU,Industrials,Electrical Equipment & Parts,0.2437,0.65,17.63,0.95,109.2,54.1,5514.48,72.45,873333333333324.8,0.097,0.0,98,96
FTK,Energy,Oil & Gas Equipment & Services,4.86,0.4,-0.4,0.75,80.73,,5473.95,0.06,10.62,5.976,84.17,98,76
MARX,Financial Services,Shell Companies,11.02,-3.13,-4.0,-1.01,-8.08,-0.5,5463.28,0.24,-8.51,,46.17,98,30
MKSI,Technology,Scientific & Technical Instruments,107.03,0.55,5.64,-2.73,78.85,,5193.7,0.15,-11.79,53.433,729.33,98,20
FFIE,Consumer Cyclical,Auto Manufacturers,2.75,1.13,8.09,0.89,79.81,72.06,5135.72,866.4,2824444444444435.5,0.378,0.0,98,97
CDXC,Consumer Defensive,Packaged Foods,3.44,49.25,0.0,0.0,149.75,2.0,5095.6,-0.03,3.49,1.137,,98,66
FFWM,Financial Services,Banks—Regional,6.81,4.0,-4.0,0.25,76.2,,5054.74,0.15,-15.78,4.085,48.0,98,15
